xx,sepalgland_phytools,lam_blade_phytools,petiole_phytools,lateral_organ,petal,anther,style,pedicel,NWOW,calyx,laminar,floralnec,petal_binary,lam_blade_binary,petiole_binary,X.1
Bronwenia_mathiasiae,2,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Bronwenia_acapulcensis,2,2,0,1,1,0,0,0,0,1,1,1,1,1,0,
Bronwenia_cornifolia,2,4,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bronwenia_ferruginea,2,2,0,1,1,0,0,0,0,1,1,1,1,1,0,
Bronwenia_megaptera,2,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Bronwenia_wurdackii,2,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Bronwenia_cinerascens,2,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Echinopterys_eglandulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Echinopterys_setosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thryallis_laburnum,0,1,2,4,0,1,0,0,0,0,1,1,0,1,1,
Thryallis_longifolia,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,
Thryallis_latifolia,0,1,2,4,0,1,0,0,0,0,1,1,0,1,1,
Thryallis_parviflora,0,1,2,4,0,1,0,0,0,0,1,1,0,1,1,
Bunchosia_maritima,1,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_ternata,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_veluticarpa,1,1,1,3,1,0,0,0,0,1,1,1,1,1,1,
Bunchosia_pernambucana,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Bunchosia_macrophylla,1,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_mcvaughii,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_palmeri,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_odorata,1,2,1,3,2,0,0,0,0,1,1,1,1,1,1,
Bunchosia_glandulifera,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,
Bunchosia_nitida,2,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_biocellata,1,1,1,3,2,0,0,0,0,1,1,1,1,1,1,
Bunchosia_pringlei,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
Bunchosia_caroli,2,1,1,3,1,0,0,0,0,1,1,1,1,1,1,
Bunchosia_luzmariae,1,3,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_montana,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Bunchosia_strigosa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Bunchosia_swartziana,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_lindeniana,1,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_pilocarpa,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
Bunchosia_armeniaca,1,1,0,1,2,1,0,0,0,1,1,1,1,1,0,
Bunchosia_angustifolia,1,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_paraguariensis,2,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_pallescens,2,1,0,1,0,1,0,0,0,1,1,1,0,1,0,
Bunchosia_decussiflora,2,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
